Toxin_Cluster, Antitoxin1, Antitoxin2,Count, Category, on_contig, vir, amr, plasmid, avg_contig_length, sd_contig_length
42H,-,47P,1,rare,(-;iutA_32;-:1),,,,99315.0,0.0
103H,-,159P,1,rare,(-;-;-:1),,,,719.0,0.0
34H,34P,173P,4,rare,(-;-;-:4),,,,8461.0,4376.43982022
125H,107P,26P,2,rare,(-;-;-:2),,,,12925.5,587.5
126H,-,145P,2,rare,(-;-;-:2),,,,94428.0,51590.0
64H,124P,201P,1,rare,(-;mrkC_66;-:1),,,,675518.0,0.0
37H,62P,42P,7,rare,(-;-;-:8),,,,73621.5,48843.5342574
106H,-,184P,2,rare,(-;-;-:2),,,,103050.0,38260.0
43H,-,229P,1,rare,(-;-;-:1),,,,50486.0,0.0
90H,-,183P,2,rare,(-;-;-:2),,,,65550.0,59444.0
65H,-,142P,2,rare,(-;-;IncFIB(K):1) (CatBx_Phe;-;-:1),,,,45317.5,13559.5
3H,13P,69P,2,rare,(-;silS_4;-:2),,,,8784.0,10.0
45H,38P,170P,1,rare,(-;-;-:1),,,,6585.0,0.0
19H,-,128P,2,rare,(-;-;-:2),,,,23690.0,14528.0
55H,-,86P,12,spo_amr_vir_plasmid,(-;-;-:12),,DfrA5_Tmt_1,,94210.0833333,125863.98758
118H,-,163P,2,rare,(-;-;-:2),,,,6695.5,2979.5
120H,-,194P,1,rare,(-;-;-:1),,,,77455.0,0.0
115H,-,113P,3,rare,(-;-;-:3),,,,4369.0,1266.38488094
124H,-,114P,1,rare,(-;-;-:1),,,,264362.0,0.0
9H,-,11P,85,spo_no_assoc,(-;-;-:85),,,,33189.8941176,52131.5525703
112H,-,10P,1,rare,(-;-;-:1),,,,579978.0,0.0
130H,-,220P,1,rare,(-;-;-:1),,,,226406.0,0.0
148H,-,239P,1,rare,(-;-;-:1),,,,858.0,0.0
37H,-,62P,8,rare,(-;-;-:8) (OqxBgb_Flq;-;-:1),,,,67430.0,89412.0044004
4H,6P,103P,4,rare,(-;-;-:4),,,,3977.5,888.892147563
26H,-,1P,229,lin,(-;kfuB_10;-:2) (AmpH_Bla;-;-:1) (OqxBgb_Flq;-;-:1) (-;iutA_39;-:1) (SHV-OKP-LEN_Bla;-;-:1) (-;-;-:216) (Penicillin_Binding_Protein_Ecoli_Bla;-;-:7),mrkI,OqxA_Flq,,111487.218341,110872.546124
142H,-,243P,1,rare,(-;-;-:1),,,,28858.0,0.0
128H,-,219P,1,rare,(-;-;-:1),,,,7475.0,0.0
72H,-,50P,10,spo_amr_vir_plasmid,(-;-;-:7) (StrB_AGly;-;IncA/C2:1) (TetA_Tet;-;IncA/C2:2),,AadA_AGly/AadA_AGly_2/AadB_AGly/RmtB_AGly/CmlA_Phe/FloR_Phe/SulII_Sul/TetA_Tet/TetG_Tet/TetRG_Tet/TetR_Tet/Arr_Rif/Dfr23_Tmt/CARB_Bla/OXA_7_Bla/VEB_1_Bla,IncA_C,47058.7,50978.3773203
131H,-,110P,2,rare,(-;-;-:2),,,,14549.5,11610.5
51H,-,39P,5,lin,(-;-;-:3) (-;-;IncFII:2),mrkI3,,,39676.0,44005.9880153
2H,22P,115P,1,rare,(-;-;-:1),,,,73652.0,0.0
15H,-,16P,96,spo_amr_vir_plasmid,(-;-;-:93) (-;kfuC_28;-:1) (AmpH_Bla;-;-:1) (-;iutA_39;-:1),kfuC,,,60704.59375,110115.012787
79H,37P,83P,17,rare,(-;-;-:17),,,,52512.5294118,39999.4290579
66H,-,222P,2,rare,(-;-;-:2),,,,71411.5,10200.5
42H,-,111P,6,rare,(-;-;-:4) (-;iutA_27;-:1) (-;iutA_29;-:1),,,,107198.333333,87795.5891672
20H,-,40P,21,spo_amr_vir_plasmid,(TetA_Tet;-;-:1) (SulI_Sul;-;-:6) (AadA_AGly;-;-:5) (AadA_AGly;-;IncHI1B:2) (MphA_MLS;-;-:2) (AadA_AGly;silC_20;IncN:1) (DfrA_Tmt;-;-:2) (CmlA_Phe;-;-:2),,AadA_AGly/AadA_AGly_2/SulIII_Sul/SulII_Sul/SulI_Sul/TetA_Tet/TetR_Tet/DfrA_Tmt_1/MefB_MLS/MphA_MLS/TEM_1D_Bla,,26648.2380952,78332.5323944
70H,49P,88P,3,rare,(-;-;-:2) (OqxBgb_Flq;-;-:1),,,,46571.3333333,46442.412149
97H,-,82P,1,rare,(-;-;-:1),,,,88319.0,0.0
13H,-,30P,156,lin,(-;-;-:154) (CatBx_Phe;-;-:1) (OqxBgb_Flq;-;-:1),,OqxA_Flq,,90556.0576923,68881.425467
96H,-,91P,6,spo_amr_vir_plasmid,(-;-;-:6),,CatBx_Phe,,142794.666667,65582.1699287
42H,210P,28P,2,rare,(-;-;-:2),,,,28182.5,11034.5
101H,-,169P,1,rare,(-;-;-:1),,,,31228.0,0.0
57H,-,29P,27,spo_amr_vir_plasmid,(-;-;-:19) (CatBx_Phe;-;-:8),silE/silC/silS/silR,,IncFIB_K_,11698.3333333,10252.9026279
64H,-,124P,4,lin,(-;mrkC_38;-:1) (-;-;-:2) (-;kfuB_22;-:1),mrkI2,SHV_OKP_LEN_Bla_2,,213620.0,100358.758631
129H,-,131P,1,rare,(-;-;-:1),,,,25053.0,0.0
3H,13P,231P,1,rare,(-;iroC_1;-:1),,,,45923.0,0.0
70H,49P,237P,1,rare,(-;-;-:1),,,,15745.0,0.0
52H,-,2P,22,spo_amr_vir_plasmid,(-;-;-:21) (CatA2_Phe;-;-:1),,Qnr_A_Flq,IncHI2,12655.9090909,11080.7689137
21H,5P,212P,1,rare,(-;-;-:1),,,,14054.0,0.0
50H,-,55P,5,rare,(-;-;-:5),,,,110797.4,108252.95045
23H,117P,76P,1,rare,(-;-;-:1),,,,107625.0,0.0
62H,-,95P,26,spo_amr_vir_plasmid,(-;-;-:23) (-;silS_4;-:1) (-;silR_11;-:1) (-;-;IncFIA(HI1):1),terZ/terE/terW/terB/terA/terC,,IncFIB_Mar_,9323.61538462,20493.2993272
10H,-,81P,24,rare,(-;irp1_15;-:1) (-;irp1_44;-:1) (SHV-OKP-LEN_Bla;-;-:2) (-;-;-:18) (-;irp2_79;-:1) (-;silR_11;-:1),,,,230692.958333,259009.196304
60H,-,233P,1,rare,(-;-;-:1),,,,3568.0,0.0
87H,-,45P,8,lin,(-;-;-:8),mrkJ2,,,47762.25,55182.9514768
131H,110P,158P,1,rare,(-;-;-:1),,,,7279.0,0.0
38H,-,137P,1,rare,(-;-;-:1),,,,61371.0,0.0
86H,43P,135P,5,rare,(-;-;-:2) (-;-;IncFII:3),,,,6109.2,2775.85773411
85H,-,172P,1,rare,(-;-;-:1),,,,9675.0,0.0
2H,-,22P,44,lin,(-;-;-:42) (OqxBgb_Flq;irp1_48;-:1) (-;irp1_41;-:1),mrkJ2/mrkI3/kfuC,,,115974.136364,198658.737066
23H,-,121P,4,rare,(-;-;-:4),,,,151681.25,131691.030713
23H,-,123P,3,rare,(-;-;-:3),,,,73955.0,47553.7316377
45H,74P,157P,3,rare,(-;-;-:3),,,,50412.6666667,27080.5722039
145H,-,228P,1,rare,(-;-;-:1),,,,1347.0,0.0
147H,-,242P,1,rare,(-;-;-:1),,,,22225.0,0.0
16H,-,7P,82,lin,(-;-;-:82),mrkI2,SHV_OKP_LEN_Bla_2,,96217.0121951,88964.6381112
40H,-,87P,9,rare,(-;-;-:7) (-;irp1_33;-:2),,,,167028.666667,78289.8885525
